日期,beta,book_to_price_ratio,earning_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size
2018-06-06,-0.0003683092,-0.0010515047,-0.0003689184,-0.0007749696,-0.0008195901,-0.0002551425,0.0018681994,-0.0003427205,0.001787858,-0.0016300093
2018-06-07,3.83058e-05,-0.0001440022,0.0016153512,-0.000279798,0.0003947735,-0.0002059265,-0.0007613114,-3.88345e-05,0.0007883896,0.0023906021
2018-06-08,-0.0003474652,-0.0019453212,-0.0004144181,-0.0001882955,-0.00061691,-0.0011087476,0.0026269373,0.0006857992,-0.0002200783,-0.0004145926
2018-06-11,0.0011598653,-0.0002353572,0.0014994761,-0.0012271265,0.0012501051,3.2202e-06,0.0002034244,-0.0013610948,0.0003335517,-0.0016084905
2018-06-12,0.0010298658,-0.0006911254,0.0021080283,0.0005841114,-0.001168284,0.002201677,-9.45291e-05,-0.0015883451,0.0014139028,0.0019003922
2018-06-13,0.0016940625,-0.001323957,0.0005246023,0.0004639926,0.0004801234,-0.0008998367,-0.000183543,-0.0008295081,-0.0009546704,0.0028430437
2018-06-14,0.0003753594,0.0018426902,0.0005004941,-0.0008187463,-0.0002313492,-7.39902e-05,0.0011926357,6.27575e-05,0.0010866561,-0.0016176947
2018-06-15,0.005379749,8.11065e-05,0.0008441363,-9.99931e-05,-7.87019e-05,-0.0004939868,0.0006833904,0.0002508617,0.0013289579,0.0058237524
2018-06-19,3.95988e-05,-0.0030598477,0.0008758342,-0.0008446772,-0.000633902,-0.0016415522,0.0014726027,-0.0039916961,-0.002379409,0.009060201
2018-06-20,0.0010424426,0.0007382733,0.0007547231,-0.0012994802,-0.0013337734,0.0019188446,0.0052966611,0.0030298261,0.0028715294,-0.0006364019
2018-06-21,0.0029955244,0.0010617137,0.0027332908,-0.0013230668,0.0003730775,0.0001027857,0.0002093233,-6.40808e-05,0.0004914066,0.0047665804
2018-06-22,-0.0001693047,0.0016441457,0.00112508,-0.0004486083,-0.0002134417,0.0013552256,0.0010385037,0.0010480524,0.0022413014,-0.002146
2018-06-25,0.0008993587,0.0004351059,-0.0019645599,6.357e-06,-0.0014578428,-0.0017072137,0.0017175188,0.0004577575,0.0011660992,-0.0033590565
2018-06-26,0.0014226169,0.0011188779,-0.002968103,0.0007537279,-0.0002296935,-0.0002283194,0.0013323665,0.0012886959,0.0020714408,-0.0047827454
2018-06-27,0.0006401526,0.0028457533,-0.001841698,-0.0008082735,5.84178e-05,-0.0011545799,0.0004580025,0.00095498,0.0002044748,-0.0040954195
2018-06-28,0.0039129945,0.0013759454,-0.0011484713,-0.0002341094,0.0003400985,-0.0001766882,0.0003830126,-0.0008598155,0.0009462499,-0.0014798904
2018-06-29,-0.0010603639,-0.0013985114,0.0003761146,0.0014377535,-0.0004097219,0.0021107667,0.0014741049,-0.000282537,0.0020493011,0.0007283704
2018-07-02,-0.0013171737,0.0005413892,-0.004619793,0.0019499589,-0.0006646661,-0.0010937449,-0.0001405848,0.0016385986,-0.0004210814,-0.0004948851
2018-07-03,0.0013216339,0.0012991805,-3.51342e-05,-0.0001671395,-0.0009475402,0.0006840001,0.0005131018,0.0011812838,0.0019723933,-0.0055780988
2018-07-04,0.0036814325,-0.0008604902,-0.0003698418,0.000726427,-0.0002313486,-3.58532e-05,-0.0038128824,-0.0003773783,0.0004668833,0.0027348182
2018-07-05,0.0036357969,-0.0008739345,0.0003173671,-0.0008207541,-5.3566e-05,-0.001726478,0.0003516219,-0.0031401855,-0.0013268193,0.0012448963
2018-07-06,0.0028829639,-0.0004094667,0.0006141365,0.000307963,-0.0007705182,-0.0007491356,0.0016778567,-0.0005101479,0.0027013908,-0.0022137469
2018-07-09,0.0024461323,-0.0013265071,0.0030187428,0.0002227048,-0.0004801008,0.0012564434,0.0049339298,-0.0010801279,0.0027629596,-0.0013636637
2018-07-10,0.001025002,-0.0002164259,0.0001886421,-0.0002925028,-0.0003735331,0.0003809684,0.004446841,2.9488e-06,0.0016556928,-0.0033040045
2018-07-11,0.0041817054,-0.0032012567,-0.0010430398,0.0010832892,0.0001072695,-0.000421503,0.0026721356,-0.0004891742,0.0005361179,0.0025702767
2018-07-12,-0.0005358145,0.0005417679,0.0008384668,0.0001750055,-0.0004779396,0.0010772995,0.0009046287,-0.0001794632,0.0011158188,-0.000328658
2018-07-13,0.0031073338,-0.0013598812,0.0004984802,0.0017710943,-0.0001811092,0.000881716,0.0005522198,-0.0008549803,0.0018609666,0.0004557418
2018-07-16,0.0012366596,-0.000779248,-7.2e-08,0.0001988184,-0.0001723427,0.0003310336,-0.0001486581,0.0003432352,-0.0003227498,-0.0006233016
2018-07-17,-0.0005612117,-0.0005435661,0.0004444964,0.0004231995,0.0013845099,0.0001556696,-0.0018397715,0.000477163,1.6962e-05,-0.0028073303
2018-07-18,0.0016474647,0.0011380082,9.86635e-05,-0.0005156526,-4.88955e-05,-0.0013325458,-0.0022941032,-0.0002541638,0.0006518755,-0.0008210016
2018-07-19,0.0049103829,-0.0019305279,0.0016428698,-0.0005005846,-0.0005970717,0.0002100852,0.0010799653,-0.000493332,-0.0006510148,0.0012913837
2018-07-20,0.0008808663,0.0007427519,0.0007494911,0.0002640764,5.9477e-06,0.0007468226,3.90134e-05,-0.0010138478,0.0004232367,-0.0004787361
2018-07-23,0.0023300128,0.0004129079,0.0018960832,-0.0007291418,0.0009705221,0.0014838966,-0.0035384008,-0.0002424378,-0.0002318401,0.0026004679
2018-07-24,0.001584179,0.0018323473,0.002938761,-0.0013368755,0.0017208434,-0.0007350089,-0.0008327054,5.53152e-05,0.0016330342,-0.0004794672
2018-07-25,-0.0016725918,0.000521255,-0.0007175604,0.0005519269,4.54829e-05,0.0002222917,-0.0028269073,-0.0001342332,0.0003357297,-0.0004530406
2018-07-26,0.0005447069,0.0028097731,-0.0006502823,0.0011005134,0.0007585083,-0.0021005268,-0.0081088542,-0.0012987814,-0.0002437715,-0.0039881055
2018-07-27,0.0048444309,-0.0020344148,-0.001249545,-0.0007881569,0.0013816591,-0.0003648339,0.000250206,0.000226216,0.0011054849,-0.0005223433
2018-07-30,0.0047501016,-0.0005298711,0.0015536278,-0.0002764646,0.0006695242,-0.0004857001,0.0008920392,-0.0001211032,0.000446717,0.0029133646
2018-07-31,0.0003473635,0.0017623303,0.0001641986,-0.0001459595,6.67272e-05,0.0001181898,-0.0003663858,-0.0024226248,-0.000389782,-0.0029954561
2018-08-01,0.0015503944,-0.0006768933,-0.0024349698,-0.0003031487,-0.0004649881,-0.0004189875,-0.0007614935,0.0002399804,0.0001121288,0.0006167832
2018-08-02,0.0021821746,0.0006214885,-0.0026207169,0.0014853261,0.001430983,0.0002569044,0.0021141752,0.0008497972,0.0005155604,0.0037395614
2018-08-03,0.0030114072,0.0010275919,0.0007149476,-0.0006179948,0.000115941,-0.0018796955,-0.0035557774,0.0011889056,-0.0003009551,-0.0028479425
2018-08-06,0.0051266519,0.002250501,-0.0007387291,-6.4799e-06,0.0001309245,0.0001973818,-0.0011628073,0.0007281304,-0.0008543867,-0.001773249
2018-08-07,0.0010681509,0.0016393004,0.0006300003,-0.0002983194,1.65452e-05,0.0016226618,0.0014785296,-0.0009564397,0.0025443283,0.0011014569
2018-08-08,0.0043565222,0.0013208028,-0.0011355204,0.0010820455,0.0004157019,-0.0008369431,-0.0051214653,-0.0007349249,0.0008075321,-0.000351019
2018-08-09,-5.08568e-05,-0.0012052883,0.0005162912,0.0003597583,-0.0008309376,0.0018477181,0.0033821161,-0.0012273256,0.0016279607,0.0007217266
2018-08-10,-0.0005383178,-0.0007908304,-0.0006212341,-0.0001785326,-0.0005678846,0.0011134652,0.0018241457,-0.0001885843,0.0008697737,-0.0005962645
2018-08-13,-0.0006605506,-0.0007883526,-0.0006660947,9.5301e-05,-0.0001337302,0.0003503037,0.0019982363,0.000240591,0.0001309402,0.0005755805
2018-08-14,-0.0002064374,0.0007664272,-0.0004250643,-0.0002293182,-0.0003249964,-0.000904989,-0.0014841901,5.64746e-05,0.0009713069,-0.0018283746
2018-08-15,0.0017890539,-0.0007869267,-0.0011346115,0.0002494673,0.0006758037,-0.0011032681,-0.0019806277,0.0006597096,-0.0002533312,-0.0013286596
2018-08-16,0.0044494179,0.0001915878,-0.000392067,0.0001088062,8.20707e-05,0.0004140042,0.0004398529,-0.0003158554,0.0013766983,-0.000968434
2018-08-17,0.0023614072,-0.0007146211,0.0002690273,-6.67339e-05,-9.21371e-05,-0.0011174299,-0.0011971914,0.0006636654,-0.0021744663,0.0002215363
2018-08-20,0.0024608824,0.0009499348,0.0003749231,0.0003468483,-0.0002080037,0.0013796667,0.0028781113,-0.0004203868,0.0003552544,-0.0012785033
2018-08-21,0.0009600973,-0.0008397827,0.0001406658,0.0001948161,0.0005061979,0.0008484934,0.0019429447,-0.0015029449,0.0024339075,0.0013595638
2018-08-22,0.0019195138,0.0001700612,0.0003137566,0.0005624226,0.0004981684,-0.0004638371,-0.000891727,-0.0007010049,0.0001727738,0.0003761379
2018-08-23,-0.0001740816,0.0001743674,-0.0007644547,-0.000137028,-0.0001649166,6.48154e-05,0.0028273583,-0.000366275,0.0010202945,-0.0016022664
2018-08-24,0.0003618266,-3.06836e-05,-0.0001629531,0.0007927417,-0.0002760181,-2.16394e-05,-0.0007490534,-0.000674545,-0.0011578687,-0.000303773
2018-08-27,3.58711e-05,-0.000657645,0.0015774925,-6.23e-08,-0.0002366962,0.00197418,0.0028080145,-0.0009958528,0.0018140867,0.0018815046
2018-08-28,0.0001525813,0.000474026,0.0006282497,-0.0005452084,0.0001934168,-6.57102e-05,1.65601e-05,-0.0004017656,0.0007935635,-0.0001921075
2018-08-29,0.0018542632,-0.0004312242,-0.0008894427,0.0007652484,-3.20318e-05,-0.0008531114,-0.0013387044,-0.0002787384,0.0006231477,0.0004024522
2018-08-30,0.0022106071,-0.000718312,0.0006466896,-0.0003213519,0.0005533512,-0.0011993075,0.0006676237,-0.0003208995,-0.0005154763,0.000136636
2018-08-31,0.0020791473,0.0018227099,-0.0006194733,-0.0004728088,0.000513739,0.0003055978,-0.0005848021,-0.0008578032,-0.0013997143,-0.0001805483
2018-09-03,-0.0008505872,0.0009314985,-0.0001022534,0.0009586601,0.0001496937,0.0008818837,8.8052e-06,0.0008547386,2.69214e-05,0.0012992768
2018-09-04,-0.000307885,-0.0002612567,0.0006912267,0.0002369894,-0.0017240187,-4.40546e-05,-0.001492504,-0.0012307077,0.0014527694,-0.0006060874
2018-09-05,-0.0003732684,0.0014032215,-0.000652356,5.14928e-05,-4.00104e-05,-0.0032284311,-0.0027538133,-0.0011025102,0.0004440342,-0.0017601771
2018-09-06,0.0010412264,0.0010022933,-0.001939338,-0.0007832964,-0.0005164659,-0.0002905258,0.0015847099,0.0005818063,0.0007553084,-0.0022044821
2018-09-07,-0.0030424806,0.0004711098,0.0019119041,-0.0004080915,4.63154e-05,-0.0003476774,-0.0022751508,-0.0007323222,-0.0003477143,-0.0005471839
2018-09-10,0.000772113,0.0019103567,-0.0003445561,-0.0003104916,-0.0001175753,-0.0019763867,0.0004923274,0.0003271771,-0.0007501066,3.5302e-06
2018-09-11,0.0007824534,0.0003359382,-0.0028123343,0.0007140321,-0.0011488928,-0.0001573288,-0.0009110155,-0.000901246,0.0012635828,-0.0005900875
2018-09-12,0.000473362,0.0002013261,0.0008782233,-0.0012849454,0.0004994729,-0.0008713296,-0.0018479946,0.0008364255,0.0004072399,-0.0023969259
2018-09-13,0.0013432233,7.62092e-05,8.96223e-05,-0.0006896863,-0.0002984038,0.0001294689,-0.0003465558,-0.0004038221,0.0003312747,-0.0010467423
2018-09-14,0.0038294571,-0.0008931021,0.0008278903,5.21615e-05,0.0002485328,-0.0001403775,-0.0038937809,-0.0017836519,-0.0001042967,0.0018168273
2018-09-17,0.0024543211,-0.0003259803,-0.0019436095,0.0016228055,-6.69277e-05,-0.0001580897,-0.0016584762,-3.009e-06,-0.0016105417,0.0011569331
2018-09-18,-0.0024007737,0.0015257522,0.0025466036,-0.0008073497,0.0002983461,0.0017786161,0.001015756,-0.0017677665,0.0015709271,6.7895e-05
2018-09-19,-0.0009177464,-0.0015132386,0.0001568229,0.0007492244,-0.0009944235,0.0015836753,-0.0003953406,-0.0011076895,-0.0002446881,0.0016026076
2018-09-20,-0.0006188876,0.0004974263,0.0006135451,7.92166e-05,0.0003216451,-0.0001892201,-0.0026488027,-0.0013268361,-0.0002263472,0.0002367283
2018-09-21,0.0016724145,-0.0014225031,0.0039312938,-0.0008190961,-0.0006260915,0.0011335342,0.0010046533,-0.0021872437,0.0019141636,0.002249177
2018-09-25,-0.0008262438,0.0015990845,-0.0016241938,0.0008641998,-3.47011e-05,-0.0009323348,0.002423475,0.0002350766,0.0004435774,-0.000422926
2018-09-26,-0.0007290386,-0.001704021,0.0014192127,0.000180912,-0.0007716793,-0.0006988526,0.0013331365,-0.0008347706,-0.0002341376,0.0011444829
2018-09-27,0.0024073141,0.0008006762,0.0008671875,0.0014959083,0.0014107329,-0.0002449495,0.0004321913,-0.0013074629,-0.0018605128,0.0027089179
2018-09-28,0.0017804102,-0.0008985154,0.0001431756,-3.67916e-05,-8.91592e-05,0.0003188027,0.0007690975,3.20618e-05,0.0020842633,0.0001389629
2018-10-08,0.0022697071,0.0023034908,-0.00263793,-0.0004681067,0.0015629605,-0.0020342801,-0.0011930172,0.0027660795,-0.0005093964,-0.0012332755
2018-10-09,-0.0002629876,0.0011607746,-0.0001331115,0.0001413197,-0.0001113621,-0.0006566075,0.0004912379,-0.0002853283,0.0009460674,-0.0039767061
2018-10-10,0.0009324673,0.0010143266,0.0005548997,-0.0022787167,-0.0009379843,-0.000182747,0.0035705947,-0.0015829124,0.0017224285,-0.0049528124
2018-10-11,-0.0010980776,-0.0027806148,0.0006577342,-0.0009836381,-0.0001592491,-0.001415752,0.0029504296,-0.0019935758,-0.0029392854,0.0043330015
2018-10-12,7.84459e-05,-0.0025224189,0.0023566531,-0.0006487886,-0.0015479589,0.0017995076,0.0079552993,-0.0031316752,-0.0014003897,0.0021134482
2018-10-15,-0.0001914971,-0.0004101768,-0.0010015633,-0.0005188464,-0.0003379138,-0.0017423657,0.0036491068,-0.0010986381,0.0001128019,-0.0045595594
2018-10-16,0.0005297445,0.0003085143,-0.0002535608,1.23023e-05,0.0001735053,-0.0021754734,-5.93595e-05,-0.0007813904,-0.0004757286,-0.002639804
2018-10-17,0.0017863386,0.0022151073,0.000489284,-0.0010474175,-0.0005583481,0.0005210598,-0.0013825262,-0.0021315183,-1.57313e-05,-0.0025434688
2018-10-18,0.0075893574,-0.0034048173,0.0017544906,-0.0020508553,-0.0021945557,0.0012455752,-0.0018182637,-0.0018586937,-0.0004763449,0.0007402073
2018-10-19,0.0018804543,-0.0013208074,0.0022694633,0.0007101041,-0.001205088,0.0032471673,0.0030129212,-0.0015067083,0.0016235525,0.0022077867
2018-10-22,-0.0017419888,-0.0002174574,-0.0003708427,0.0002518645,0.0002610993,0.0018839849,-0.0011073348,-0.0005357879,0.0021167573,0.0007553768
2018-10-23,-0.0031487078,0.0012011043,-0.0024786157,-7.8558e-06,-0.0003640307,-0.0020912285,-0.0034032169,-0.0014422612,-6.48643e-05,-0.0049274925
2018-10-24,0.0025247743,0.000494473,-0.0001207296,-0.0001637595,0.0002601146,-0.0005068116,-0.0026716684,-0.0007209834,0.0010592778,-0.0032005631
2018-10-25,0.0026984638,0.002132475,-0.0024575842,0.0005343939,0.0007900324,-3.28119e-05,-0.0028146905,-0.0004617922,3.95423e-05,0.0018424389
2018-10-26,0.003080386,0.0028119359,0.0012388654,-0.0014830733,0.0009287648,-0.0013118192,-0.0005980446,0.0002138294,0.0025825229,-0.004973294
2018-10-29,0.0021696046,0.0031421477,-0.0031578285,0.0004791026,0.0005430763,-0.0010292778,-0.0005159259,0.0011919677,0.0004027121,-0.0021028855
2018-10-30,-0.0004135591,0.0023714556,-0.0013743232,0.0005904879,-9.18069e-05,0.0006734799,0.0002110066,-0.0012533123,0.0017676231,-0.0020154622
2018-10-31,4.83607e-05,-0.001621559,0.0020458015,-0.0009524394,-0.0003005649,-0.0001388597,0.001929461,-0.0015718256,0.0010499543,-0.0011961651
2018-11-01,-0.0013380614,-0.0014179385,0.0009458698,-0.0006582734,-0.0003525826,0.0003643828,-0.000662173,-0.0006774245,0.0005661622,0.002073103
2018-11-02,-0.0013869733,-0.0033510085,0.002160475,-0.0011463846,-6.3692e-06,0.0024972841,-0.000604673,-0.0001312199,0.0007567211,0.0049302541
2018-11-05,-0.0037434833,0.0017703038,-0.0011048025,-0.0008545304,0.0009295877,-0.0010928518,-0.0039440726,0.0008515367,0.0007533881,-0.0031086439
2018-11-06,0.0037994386,0.000836573,-0.0018461841,0.0014412284,0.0005278148,-0.0006932437,-0.000884833,0.0024181853,0.0016093485,0.0022813032
