日期,dividend,growth,liquidity,momentum,quality,sentiment,size,value,volatility
2018-06-06,0.0005161104,0.0003603636,0.0016154304,0.0023582976,-0.0012994042,-0.0007891913,-0.0005863327,0.0010193194,0.0015710488
2018-06-07,0.0008132019,0.0002265381,-0.0024523428,0.0014166467,0.0005108697,-4.38729e-05,0.000538338,0.0012852922,0.0003552819
2018-06-08,0.000372667,0.0001585852,0.0006505812,0.004269145,-0.0007693932,-4.41375e-05,-9.17289e-05,9.12553e-05,0.0005951145
2018-06-11,0.0009507244,-0.0001314951,-0.0004919519,0.0001513539,-0.0003269388,-0.0001752428,-0.0007603632,0.0019102008,-0.0005606533
2018-06-12,0.0007152613,0.0002210085,-0.0035040617,0.0011289184,-0.000499263,3.52106e-05,0.0001610628,0.0010846435,0.0009785102
2018-06-13,0.0013777304,0.0001606383,-0.0074831108,0.0047326484,-0.0001475766,-0.000532087,0.0001287054,0.0005725224,0.0015746824
2018-06-14,0.000290289,0.0001644424,-5.76118e-05,-0.0004692988,-0.0003818869,0.0002554127,-0.0002747415,0.0012022982,0.0011169399
2018-06-15,0.0017808196,-0.0006188413,-0.0088013539,0.0048045372,0.000340138,-0.0005250423,0.0014555418,0.0016526174,0.0023473245
2018-06-19,0.0002406267,-0.0001693071,-0.0131778452,0.0156065858,-0.0002431357,-0.0012487914,-9.1173e-05,0.0013428527,-0.000320289
2018-06-20,-2.99346e-05,-0.0002753519,0.0020926781,0.0033663921,-0.0002582811,-6.3273e-06,0.0008373681,0.0010595114,0.0046898884
2018-06-21,0.0028477859,-0.0020346608,-0.0075861136,0.0048785813,0.0012095739,0.0006616869,0.0005672504,0.0023760565,-0.0003741818
2018-06-22,5.42154e-05,-0.0001320938,0.0029502649,-0.0017148467,0.0009868534,0.0006916341,2.6719e-05,-0.000515805,0.0016833767
2018-06-25,-0.0001508243,8.233e-07,0.0006869171,0.0014760716,-0.0007314552,0.0001805876,-0.0009954372,-0.0010645113,0.0034708738
2018-06-26,-0.0016132039,9.43374e-05,0.0020853006,-0.002879505,-0.0002676425,0.000318757,-0.0004688511,-0.0026603547,0.0063654381
2018-06-27,0.0002967158,-0.0005187131,-0.0002232318,-0.0019033085,-0.0004864797,0.0001624746,-0.0008274034,-0.0011442659,0.0035535455
2018-06-28,-0.0006677692,-0.0007439863,-0.0051031337,0.0011363967,-0.0012625256,0.0008594864,-0.00100421,0.000722902,-0.0004271966
2018-06-29,-9.8251e-06,0.0007618873,0.0043888811,0.0009235,0.0008620147,-0.0001398738,0.0002912435,-0.0002096159,0.0005573644
2018-07-02,-0.0008175971,-8.91706e-05,-0.001457308,0.0015212366,-0.0002792264,-0.0001166964,-8.7818e-05,-0.0047699309,0.003579317
2018-07-03,0.000268068,0.0004314819,0.0042885426,-0.0048530135,-0.0011425168,6.38263e-05,-0.0008591705,-0.0002053892,0.0031336882
2018-07-04,5.41246e-05,0.000604388,-0.0056151264,-0.0007937241,-0.0007972881,-0.000727691,7.07837e-05,-0.0004613432,-0.0038365853
2018-07-05,0.0008523883,-0.0002153067,-0.0070413513,0.0027779388,-0.000743587,-0.0010824656,-0.0004954727,0.0015137079,0.0005093022
2018-07-06,-0.0004339999,-2.70167e-05,0.00262882,0.0008656622,0.0003556973,0.0001024512,-0.0008001792,0.0014854561,0.0005261196
2018-07-09,0.0005188801,0.0002190008,0.0023986412,0.0026782632,0.0002794038,0.0001870003,9.17562e-05,0.0030401219,0.0018152583
