日期,价值,分红,动量,市值,情绪,成长,波动,流动性,质量
2016-01-07,-0.0012,0.0014000000000000002,0.006,-0.0016,-0.0013,-0.0005,-0.0022,-0.009399999999999999,0.0
2016-01-08,0.0039000000000000003,0.003,0.0016,0.0007000000000000001,0.001,0.0001,0.004699999999999999,-0.0067,0.0014000000000000002
2016-01-11,0.0015,0.0024,0.0076,-0.0001,-0.0006,-0.0008,-0.0018,-0.0118,0.0022
2016-01-12,0.0058,0.0007000000000000001,-0.0066,0.0001,-0.001,0.0008,0.0054,-0.0014000000000000002,-0.0008
2016-01-13,0.0039000000000000003,0.0019,-0.0009,-0.0001,-0.0024,0.0002,-0.0021,-0.0075,0.0002
2016-01-14,-0.002,-0.0013,0.0006,-0.0001,0.0001,0.0007000000000000001,0.005,0.0048,-0.0002
2016-01-15,-0.0002,-0.001,0.006999999999999999,-0.0009,-0.0006,0.0009,-0.0014000000000000002,-0.0072,-0.0005
2016-01-18,-0.0017000000000000001,-0.0025,0.0012,-0.0016,-0.0002,0.0011,0.0021,0.0031,-0.0012
2016-01-19,-0.0012,-0.0008,-0.0009,-0.0011,0.0012,0.0002,0.0019,0.0022,0.0006
2016-01-20,0.0007000000000000001,-0.0021,0.0015,-0.0025,-0.0011,0.0007000000000000001,0.0001,-0.0007000000000000001,-0.0005
2016-01-21,0.0033,0.0017000000000000001,-0.0034000000000000002,-0.0017000000000000001,-0.0004,0.0,0.0016,-0.0075,-0.0004
2016-01-22,-0.0012,0.0008,-0.0003,0.0001,0.0006,-0.0004,0.0023,0.0055000000000000005,-0.0005
2016-01-25,-0.0032,0.0015,-0.0005,-0.0011,0.0009,0.0006,0.0015,0.0016,-0.0002
2016-01-26,0.0002,0.0023,0.006,0.0,-0.0013,0.0007000000000000001,-0.0048,-0.0079,-0.0002
2016-01-27,-0.0006,0.0049,0.0038,0.001,0.0,-0.0003,0.0039000000000000003,0.0003,0.0009
2016-01-28,0.0019,0.0029,0.0009,-0.0008,-0.0019,-0.0001,-0.0019,-0.011200000000000002,0.0007000000000000001
2016-01-29,0.0007000000000000001,0.0002,-0.0044,-0.0007000000000000001,0.002,0.0011,0.0038,0.0043,0.0004
2016-02-01,0.0011,0.0016,0.0007000000000000001,-0.0011,0.0013,0.0002,-0.001,-0.0005,0.0001
2016-02-02,-0.0026,-0.0013,0.0009,-0.0003,0.0,0.0008,0.0027,0.0036,0.0
2016-02-03,-0.0033,0.0001,0.0015,-0.0011,-0.0006,0.0003,0.0012,0.0018,0.0003
2016-02-04,-0.0019,-0.0005,-0.0017000000000000001,-0.0005,0.0004,0.0006,0.0009,0.0059,-0.0012
2016-02-05,0.0014000000000000002,-0.0005,-0.0028000000000000004,-0.001,-0.0012,0.0002,-0.0012,-0.0031,-0.0003
2016-02-15,-0.003,0.0004,0.0060999999999999995,-0.0006,0.0004,0.0002,0.0021,-0.0032,0.0001
2016-02-16,-0.001,-0.0023,-0.0034999999999999996,0.0004,0.001,0.0004,0.0014000000000000002,0.0062,-0.0003
2016-02-17,-0.0018,-0.0007000000000000001,0.0007000000000000001,0.0005,0.0006,-0.0002,0.0016,0.0021,0.0001
2016-02-18,-0.003,0.0008,-0.0018,0.0004,-0.0007000000000000001,0.0,0.0005,0.002,-0.0008
2016-02-19,-0.0003,-0.001,-0.0014000000000000002,-0.0011,-0.0003,0.0009,0.0022,-0.0001,-0.0004
2016-02-22,0.0009,-0.0005,-0.0033,-0.0008,-0.0005,0.0003,0.0022,0.0006,0.0007000000000000001
2016-02-23,-0.0026,0.0017000000000000001,0.0021,-0.0003,0.0,-0.0009,0.001,-0.0007000000000000001,0.0005
2016-02-24,-0.0008,-0.0003,-0.0077,-0.0008,-0.0002,-0.0002,0.005699999999999999,-0.0053,0.0007000000000000001
2016-02-25,-0.0008,0.0019,0.005699999999999999,-0.0001,-0.0014000000000000002,0.0003,-0.0029,-0.0074,-0.0002
2016-02-26,0.0034000000000000002,0.0028000000000000004,-0.0019,-0.0001,-0.0006,-0.0013,0.0052,-0.0069,0.0013
2016-02-29,0.0070999999999999995,0.0055000000000000005,0.0037,-0.0004,-0.0029,-0.0004,0.0007000000000000001,-0.015700000000000002,0.0031
2016-03-01,0.0022,0.0015,-0.0033,-0.0003,0.001,0.0005,0.003,0.0017000000000000001,0.001
2016-03-02,0.0001,0.0,-0.0034000000000000002,0.0004,0.0003,0.0002,0.0029,0.0028000000000000004,0.0009
2016-03-03,-0.0003,-0.0013,-0.0039000000000000003,-0.0007000000000000001,0.0002,0.001,0.0012,-0.003,-0.0004
2016-03-04,0.0062,0.0053,-0.0012,-0.0009,-0.0004,0.0,-0.0016,-0.0159,0.0009
2016-03-07,-0.0021,-0.0006,-0.0042,-0.0006,0.0009,0.0005,0.0031,0.0052,-0.001
2016-03-08,-0.0009,-0.0013,-0.003,-0.0018,-0.0001,-0.0001,-0.0005,0.0029,-0.0005
2016-03-09,0.0017000000000000001,-0.0012,-0.0009,-0.0015,-0.0002,-0.0002,-0.0029,-0.0024,-0.0001
2016-03-10,0.0008,0.0012,-0.0015,-0.0001,0.0,0.0002,0.0006,0.0005,-0.0003
2016-03-11,0.0031,0.0016,-0.0003,-0.0014000000000000002,0.0003,-0.0002,0.0025,-0.0005,-0.0007000000000000001
2016-03-14,-0.0017000000000000001,-0.0014000000000000002,0.0005,0.0002,0.0005,0.0004,0.0024,0.0073,-0.001
2016-03-15,0.0001,0.0011,0.0,-0.0018,-0.0004,-0.0005,0.0013,-0.0052,0.0004
2016-03-16,0.0011,0.0009,0.0006,-0.0032,0.0007000000000000001,0.0004,-0.0017000000000000001,-0.0042,0.0002
2016-03-17,-0.0037,-0.0013,0.0021,0.0009,0.001,0.0007000000000000001,0.0037,0.0079,-0.0001
2016-03-18,-0.002,-0.0012,0.0012,0.0008,0.0008,0.0002,0.0034000000000000002,0.0074,0.0003
2016-03-21,0.0006,-0.0018,0.0007000000000000001,0.0,0.0014000000000000002,0.0001,0.0015,0.0045000000000000005,0.0023
2016-03-22,-0.0017000000000000001,0.0,0.0029,-0.0007000000000000001,0.0006,0.0006,-0.0002,-0.0014000000000000002,-0.0004
2016-03-23,0.0003,-0.001,0.0032,-0.0001,0.0,0.0002,0.0009,0.0037,-0.0002
2016-03-24,0.0018,0.0001,0.0048,-0.0003,-0.0002,0.0007000000000000001,-0.0008,-0.0033,-0.0023
2016-03-25,-0.0015,-0.0004,-0.0064,-0.0014000000000000002,-0.0007000000000000001,0.0001,0.0015,-0.0018,-0.0007000000000000001
2016-03-28,-0.001,-0.0004,-0.0015,-0.0006,0.0001,0.0004,0.0,-0.0013,0.0009
2016-03-29,0.0003,0.0003,0.0002,-0.0005,-0.0001,-0.0005,0.0013,-0.0045000000000000005,0.0016
2016-03-30,-0.0018,-0.0008,0.0028000000000000004,0.0,0.0006,0.0006,0.0019,0.0038,-0.0014000000000000002
2016-03-31,0.0009,0.0001,0.0016,-0.0015,-0.0006,-0.0004,-0.0002,0.0001,-0.0015
2016-04-01,0.0023,0.0012,-0.0017000000000000001,-0.0019,-0.0003,0.0004,0.0005,-0.0025,-0.0002
2016-04-05,-0.0027,-0.0007000000000000001,-0.0004,-0.0007000000000000001,0.0008,0.0004,0.0028000000000000004,0.0037,0.0003
2016-04-06,-0.0005,0.0005,0.0011,-0.0008,0.0007000000000000001,0.0005,0.0004,0.0003,-0.0012
2016-04-07,0.0003,0.0014000000000000002,0.0022,-0.0009,0.0001,0.0,-0.0007000000000000001,-0.0023,-0.0006
2016-04-08,0.0,0.0009,-0.0008,-0.0018,0.0007000000000000001,-0.0003,0.0012,-0.0003,0.0001
2016-04-11,0.0003,0.0005,-0.0033,-0.0012,0.0011,-0.0004,0.0031,0.0023,0.0001
2016-04-12,-0.0003,0.0002,-0.0038,-0.0019,0.0,0.0002,0.0011,-0.0034999999999999996,0.0002
2016-04-13,0.001,-0.0003,-0.0019,-0.0001,0.0009,-0.0004,0.0021,0.0007000000000000001,0.0003
2016-04-14,-0.0013,-0.0003,-0.0012,-0.002,0.0003,-0.0002,0.0,0.0054,-0.0001
2016-04-15,-0.0006,-0.0011,0.0001,-0.0031,0.0003,0.0003,0.0,-0.0024,-0.0004
2016-04-18,-0.0016,0.0003,0.0038,-0.0011,-0.0005,0.0006,-0.0008,-0.0033,-0.0002
2016-04-19,-0.0012,-0.0004,-0.0012,-0.0007000000000000001,0.0003,-0.0004,0.0015,0.0007000000000000001,0.0004
2016-04-20,0.0015,0.0022,0.0054,-0.0009,-0.001,-0.0006,-0.0001,-0.013500000000000002,0.0016
2016-04-21,-0.0015,0.0015,-0.0024,-0.0002,0.0001,-0.0011,0.0017000000000000001,-0.0054,-0.0002
2016-04-22,-0.0001,0.0001,-0.0023,-0.0011,0.0017000000000000001,0.0006,-0.0002,0.0031,-0.0005
2016-04-25,-0.0014000000000000002,0.0012,0.001,-0.0012,0.0006,0.0,0.0003,-0.0037,-0.0001
2016-04-26,-0.0004,-0.0013,-0.0007000000000000001,-0.0012,0.0005,0.0001,0.0009,0.0016,0.0
2016-04-27,-0.0006,0.0007000000000000001,0.002,-0.0014000000000000002,0.0002,0.0,-0.0008,-0.0014000000000000002,-0.0003
2016-04-28,0.0005,-0.0002,0.0007000000000000001,-0.0009,0.0008,0.0003,0.0003,0.0009,0.0002
2016-04-29,-0.0002,0.0002,0.0013,-0.0011,-0.001,-0.0004,-0.001,-0.0029,-0.0007000000000000001
2016-05-03,-0.0011,-0.0013,-0.0008,0.0003,0.0007000000000000001,0.0004,0.0034999999999999996,0.0031,-0.0001
2016-05-04,0.0015,-0.0003,-0.0004,-0.0007000000000000001,0.0001,-0.0004,0.0015,0.001,0.0001
2016-05-05,-0.0003,-0.0007000000000000001,0.0025,-0.0002,0.0001,0.0006,0.0013,0.0022,-0.0006
2016-05-06,0.0024,0.0007000000000000001,0.0027,0.0008,-0.0007000000000000001,-0.0006,-0.0003,-0.0066,-0.0012
2016-05-09,0.0032,0.0016,0.005600000000000001,0.0016,-0.0009,-0.0006,-0.0004,-0.0105,-0.0006
2016-05-10,0.0021,-0.0001,-0.0040999999999999995,0.0002,0.0003,-0.0007000000000000001,0.0022,-0.002,0.0007000000000000001
2016-05-11,0.0039000000000000003,0.0003,-0.0029,0.0005,0.0002,-0.0012,0.0022,-0.0085,0.0004
2016-05-12,-0.0012,0.0014000000000000002,0.0044,0.0019,-0.0001,0.0004,0.0007000000000000001,-0.0037,0.002
2016-05-13,-0.0011,0.0006,0.002,-0.0003,-0.0003,-0.0003,0.0014000000000000002,-0.0012,-0.0001
2016-05-16,-0.0033,-0.0002,0.0021,-0.0013,0.0005,0.0001,0.0002,0.004,-0.0005
2016-05-17,0.0001,-0.001,-0.0029,-0.0003,-0.0001,0.0006,0.0014000000000000002,0.0017000000000000001,-0.0009
2016-05-18,0.0018,0.001,0.0021,0.001,-0.0009,-0.0007000000000000001,-0.0006,-0.009399999999999999,0.0002
2016-05-19,-0.0013,-0.0001,0.002,-0.0002,0.0007000000000000001,-0.0001,0.0011,0.0026,0.0
2016-05-20,-0.0005,-0.0006,-0.001,-0.0005,0.0009,0.0003,0.0021,0.0017000000000000001,-0.001
2016-05-23,-0.001,0.0001,0.0023,-0.0009,0.0004,0.0008,0.0004,0.0052,0.0004
2016-05-24,0.0003,0.0,-0.0002,-0.0015,0.0,-0.0002,-0.0013,-0.0019,-0.0005
2016-05-25,0.0014000000000000002,0.0007000000000000001,-0.0025,-0.0007000000000000001,0.0001,-0.0006,0.0027,0.0009,-0.0011
2016-05-26,-0.0021,0.0004,0.0021,0.0,0.0004,-0.0001,0.0009,0.0022,-0.0007000000000000001
2016-05-27,-0.0003,0.001,-0.0028000000000000004,-0.0009,-0.0003,0.0004,0.0009,-0.001,-0.0017000000000000001
2016-05-30,-0.0006,-0.0003,-0.0001,-0.0011,-0.0002,-0.0002,0.001,-0.0034999999999999996,0.0001
2016-05-31,-0.0002,-0.001,-0.0007000000000000001,0.0002,0.0006,0.0002,0.0031,0.0062,0.0001
2016-06-01,-0.0019,0.0,0.0036,-0.0002,0.0003,0.0007000000000000001,0.0014000000000000002,0.002,-0.0009
2016-06-02,-0.0007000000000000001,0.0008,0.0021,-0.0004,-0.0011,-0.0005,0.0022,0.0045000000000000005,-0.0013
2016-06-03,0.0019,0.0006,-0.0021,-0.0009,-0.0004,0.0004,0.0003,-0.0007000000000000001,-0.0006
2016-06-06,-0.0016,-0.0006,0.0009,-0.0008,0.0001,0.0,-0.0008,0.0011,0.0018
2016-06-07,-0.0004,0.0009,0.0036,0.0001,-0.0006,-0.0003,0.003,0.0037,-0.0024
2016-06-08,-0.0001,-0.0008,-0.0013,-0.0011,0.0007000000000000001,0.0007000000000000001,0.0011,-0.003,0.0014000000000000002
2016-06-13,0.0009,0.0012,0.0004,-0.0001,-0.0006,-0.0002,-0.0011,-0.0143,0.0008
2016-06-14,-0.001,-0.0004,0.002,-0.0005,-0.0006,-0.0007000000000000001,0.0024,-0.0018,0.0004
2016-06-15,-0.0029,-0.0006,0.004699999999999999,-0.0003,0.0003,0.0006,0.002,0.0059,0.0
2016-06-16,-0.0024,0.0009,0.005600000000000001,-0.0009,0.0005,-0.0002,0.0023,-0.0017000000000000001,-0.0003
2016-06-17,-0.0001,0.0004,-0.0034000000000000002,-0.0008,-0.0007000000000000001,-0.0001,0.0032,0.0028000000000000004,-0.0005
2016-06-20,0.0018,0.0004,0.0014000000000000002,0.0009,0.0,0.0001,0.0033,0.0015,-0.0001
2016-06-21,0.0007000000000000001,-0.0002,-0.0026,0.0002,0.0002,0.0,0.0027,-0.004,0.0003
2016-06-22,0.0002,-0.0005,-0.0009,-0.001,-0.0001,-0.0003,0.003,0.0021,-0.0001
2016-06-23,-0.0001,-0.0005,-0.0006,-0.0008,0.0008,0.0,0.0028000000000000004,-0.0028000000000000004,-0.0001
2016-06-24,-0.0016,-0.0001,0.006500000000000001,-0.0003,0.0006,-0.0006,0.0001,-0.0038,0.0005
2016-06-27,-0.0021,-0.0003,0.0031,-0.0003,0.0003,-0.0002,0.0034000000000000002,0.0018,-0.0006
2016-06-28,0.0002,-0.0005,0.0004,-0.0011,0.0003,-0.0003,0.0032,0.0001,-0.0001
2016-06-29,-0.0004,0.0,0.0008,0.0003,-0.0003,-0.0002,0.002,0.001,-0.0008
2016-06-30,0.0023,-0.0008,-0.0014000000000000002,-0.0023,0.0006,0.0004,0.0009,-0.0095,0.0005
2016-07-01,0.0004,0.0001,0.0003,-0.0003,-0.0002,-0.0004,0.0017000000000000001,-0.0014000000000000002,-0.0008
2016-07-04,0.0001,0.0018,-0.0004,-0.0003,0.0004,-0.0001,0.0038,-0.0017000000000000001,0.0002
2016-07-05,-0.0007000000000000001,0.0001,0.0005,-0.0002,-0.0002,-0.0003,0.004699999999999999,0.0001,-0.0001
2016-07-06,0.0004,0.0007000000000000001,0.0019,-0.0014000000000000002,0.0003,0.0002,0.0008,-0.0027,-0.0003
2016-07-07,0.0001,0.0004,-0.0018,-0.0004,0.0,0.0002,0.0022,0.0002,-0.0002
2016-07-08,0.0011,-0.001,-0.0018,-0.0012,0.0003,0.0001,0.0021,-0.0022,-0.001
2016-07-11,-0.0001,0.0007000000000000001,-0.0013,-0.0005,-0.0003,-0.0002,-0.0003,-0.0105,0.0006
2016-07-12,0.0027,0.0026,-0.0042,0.0,-0.0002,0.0002,0.004,-0.0013,0.0006
2016-07-13,0.0009,-0.0005,-0.001,-0.0006,0.0001,0.0012,0.002,-0.0018,0.0012
2016-07-14,-0.0019,-0.0003,0.0004,-0.0003,0.0004,0.0004,0.0028000000000000004,-0.0005,-0.0006
2016-07-15,0.0004,0.0005,0.0019,-0.0003,0.0004,0.0001,0.0019,-0.0042,0.0
2016-07-18,-0.0012,0.0007000000000000001,0.0039000000000000003,-0.0007000000000000001,0.0005,0.0,0.0007000000000000001,-0.0064,0.0001
2016-07-19,-0.0011,-0.0005,-0.0021,-0.0003,0.0004,-0.0001,0.0028000000000000004,0.0021,-0.0006
2016-07-20,0.0001,-0.0002,0.0013,-0.0017000000000000001,0.0007000000000000001,-0.0002,0.0013,-0.0028000000000000004,-0.001
