日期,basis_mom_22d,basis_mom_5d,beta,cv_22d,cv_5d,delta_oi,illiq,ma,roll_yield,section_mom_22d,section_mom_5d,skew,ts_mom_22d,ts_mom_5d,ts_mom_66d,value
2018-06-06,0.00080018,0.0008653639,0.0035172448,0.0001111285,-0.0017051011,-0.0049407888,0.0022028215,0.0008068785,0.002054217,0.0005995648,0.0010876697,0.0005629807,0.0008755065,0.0014740797,0.0013255314,0.0022975046
2018-06-07,-0.002728065,0.0005562699,0.0032983397,0.0052043789,0.0038477309,-0.0005068966,0.0013646347,0.0020722431,5.31574e-05,0.0044636358,0.0023417794,0.0011022484,0.0032338715,0.0017431533,0.0046295794,0.0064751358
2018-06-08,-0.0031515768,0.0025766213,-0.0020129795,-0.0074694445,-0.0061840382,-0.0040730799,-0.000482574,0.0022997104,0.0108248126,-0.0035517312,-0.003707642,0.0030402091,-0.0062394397,0.0023542101,-0.0056153187,0.0031676031
2018-06-11,0.0045994069,0.0029294909,0.0008665329,0.0007910194,0.0040941112,0.0016271205,0.0017980171,-0.0015685879,-0.0031600361,0.0013131316,0.0009746813,-0.0006749155,0.0005880799,-0.0020216414,0.0009510553,-0.0004402415
2018-06-12,-0.0005193209,-0.0008174433,0.0001306358,0.0146311988,0.0114020092,-8.33249e-05,0.0036365138,-0.0025516725,-0.0019990036,0.0059774866,0.0029660699,0.0026618287,0.0032374894,-0.0022599756,0.0084554304,0.0091278205
2018-06-13,0.0047271988,-0.004040298,-0.0041389979,0.0005594513,0.0052623989,-0.0016527495,-0.0041567625,-0.0002767196,-0.0032967135,-0.0030594196,-0.0047446481,-0.0036076522,-0.0007843781,-0.0025944588,0.0033821573,-0.002526559
2018-06-14,0.0027094934,0.0037012575,-0.0013245707,-0.0011548773,-0.0007850539,-0.0020152008,0.0010155925,0.0012694216,0.0020062796,0.0005525467,0.0019709137,0.0021208691,0.0004738295,0.0021669663,0.0005892462,0.0058380223
2018-06-15,-0.0013955453,-0.001122076,-0.0002786128,0.0071436498,0.0084030873,0.0013387685,-0.0030206534,0.0043905313,-0.0041743104,0.0032050191,0.0029781044,-0.0014395912,0.0058937814,0.0056692429,0.0065082464,0.0034772436
2018-06-19,-0.0058135672,-0.012140471,0.0070417942,-0.0234405967,-0.0177889851,0.0028032452,-0.0198352188,0.0083164617,-0.0012539967,-0.0135367541,-0.0052215256,-0.0111982111,-0.0072111731,0.0054140545,-0.0117897669,-0.0124685491
2018-06-20,0.0027820106,0.0029509379,-0.0060379923,0.0034310628,0.0043858461,0.000430277,0.0027040428,-0.0076144281,0.0068241751,0.0017485241,-0.0010577468,0.00507188,-0.0071428978,-0.009569144,-0.0046786978,0.0056086455
