symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHSE.000852,1d,6025.747,6052.442,5948.272,6049.787,9480519168,101288038400.0,6027.52,0,2015-01-05 00:00:00+08:00,2015-01-05 00:00:00+08:00
SHSE.000905,1d,5338.752,5427.231,5314.339,5417.017,12878760192,139343032320.0,5322.714,0,2015-01-05 00:00:00+08:00,2015-01-05 00:00:00+08:00
SHSE.000300,1d,3566.089,3669.042,3551.51,3641.541,45877143552,524346290176.0,3533.705,0,2015-01-05 00:00:00+08:00,2015-01-05 00:00:00+08:00
SZSE.399303,1d,5470.544,5502.201,5414.885,5501.428,10993013248,107361300480.0,5468.815,0,2015-01-05 00:00:00+08:00,2015-01-05 00:00:00+08:00
SHSE.000985,1d,4243.09,4330.562,4218.596,4310.693,74310119424,819835387904.0,4219.002,0,2015-01-05 00:00:00+08:00,2015-01-05 00:00:00+08:00
SZSE.399303,1d,5479.366,5588.733,5446.353,5588.466,10969325056,113561300992.0,5501.428,0,2015-01-06 00:00:00+08:00,2015-01-06 00:00:00+08:00
SHSE.000300,1d,3608.428,3683.226,3587.231,3641.059,43004462336,500208488448.0,3641.541,0,2015-01-06 00:00:00+08:00,2015-01-06 00:00:00+08:00
SHSE.000852,1d,6021.449,6172.644,5986.401,6172.392,9399203328,110059302912.0,6049.787,0,2015-01-06 00:00:00+08:00,2015-01-06 00:00:00+08:00
SHSE.000905,1d,5389.903,5482.124,5354.338,5479.864,12375449600,140328099840.0,5417.017,0,2015-01-06 00:00:00+08:00,2015-01-06 00:00:00+08:00
SHSE.000985,1d,4280.133,4348.266,4255.393,4338.934,70551961600,809027862528.0,4310.693,0,2015-01-06 00:00:00+08:00,2015-01-06 00:00:00+08:00
SZSE.399303,1d,5577.644,5588.782,5544.045,5587.704,9268536320,96923439104.0,5588.466,0,2015-01-07 00:00:00+08:00,2015-01-07 00:00:00+08:00
SHSE.000905,1d,5471.402,5492.825,5436.918,5488.242,9605049344,111787081728.0,5479.864,0,2015-01-07 00:00:00+08:00,2015-01-07 00:00:00+08:00
SHSE.000852,1d,6161.482,6171.146,6118.14,6166.769,8062012416,93244686336.0,6172.392,0,2015-01-07 00:00:00+08:00,2015-01-07 00:00:00+08:00
SHSE.000985,1d,4322.457,4355.395,4299.121,4341.894,55314515200,655086510080.0,4338.934,0,2015-01-07 00:00:00+08:00,2015-01-07 00:00:00+08:00
SHSE.000300,1d,3620.924,3671.19,3601.698,3643.79,32289647104,396685238272.0,3641.059,0,2015-01-07 00:00:00+08:00,2015-01-07 00:00:00+08:00
SHSE.000852,1d,6161.553,6211.46,6126.966,6164.111,8131564544,95807164416.0,6166.769,0,2015-01-08 00:00:00+08:00,2015-01-08 00:00:00+08:00
SHSE.000985,1d,4344.203,4351.56,4263.701,4277.761,52778530816,611211096064.0,4341.894,0,2015-01-08 00:00:00+08:00,2015-01-08 00:00:00+08:00
SZSE.399303,1d,5582.123,5611.134,5544.636,5576.299,9301604352,98149040128.0,5587.704,0,2015-01-08 00:00:00+08:00,2015-01-08 00:00:00+08:00
SHSE.000300,1d,3650.073,3659.945,3552.1,3559.259,29509585152,350845435904.0,3643.79,0,2015-01-08 00:00:00+08:00,2015-01-08 00:00:00+08:00
SHSE.000905,1d,5482.394,5497.744,5418.011,5444.037,9563461632,108520980480.0,5488.242,0,2015-01-08 00:00:00+08:00,2015-01-08 00:00:00+08:00
SHSE.000300,1d,3547.574,3689.753,3536.395,3546.723,35145895168,427093876736.0,3559.259,0,2015-01-09 00:00:00+08:00,2015-01-09 00:00:00+08:00
